S/N,Throughput,UL Packet Loss,DL Packet Loss
571,997.88957813,0.00001254,0.00003258
572,999.90739063,0.00001252,0.00003251
573,1001.84271875,0.00001250,0.00003245
574,1003.39475781,0.00001248,0.00003239
575,1005.54295313,0.00001245,0.00003233
576,1007.54200781,0.00001243,0.00003226
577,1009.18972656,0.00001241,0.00003220
578,1010.89608594,0.00001239,0.00003215
579,1012.10896875,0.00001237,0.00003210
580,1013.87482813,0.00001235,0.00003205
581,1015.61283594,0.00001233,0.00003199
582,1016.93307813,0.00001231,0.00003193
583,1018.65145313,0.00001229,0.00003188
584,1020.44196875,0.00001227,0.00003182
585,1021.75930469,0.00001225,0.00003177
586,1023.70912500,0.00001223,0.00003171
587,1025.43671094,0.00001221,0.00003166
588,1026.79764844,0.00001219,0.00003160
589,1028.45560156,0.00001217,0.00003155
590,1030.13025000,0.00001215,0.00003150
591,1031.42953906,0.00001213,0.00003145
592,1033.30403906,0.00001211,0.00003139
593,1034.68182813,0.00001209,0.00003134
594,1036.64424219,0.00001207,0.00003128
595,1038.27128125,0.00001205,0.00003123
596,1039.54794531,0.00001203,0.00003119
597,1041.33210938,0.00001201,0.00003113
598,1042.94743750,0.00001199,0.00003108
599,1044.39154688,0.00001197,0.00003103
600,1046.18527344,0.00001195,0.00003097
601,1048.08414063,0.00001193,0.00003092
602,1049.81171094,0.00001192,0.00003086
603,1051.44217188,0.00001190,0.00003080
604,1053.14568750,0.00001188,0.00003075
605,1054.54226563,0.00001186,0.00003070
606,1056.18763281,0.00001184,0.00003065
607,1057.53457031,0.00001182,0.00003060
608,1059.39385156,0.00001180,0.00003054
609,1061.08760938,0.00001178,0.00003049
610,1062.40824219,0.00001176,0.00003045
611,1063.92742969,0.00001174,0.00003041
612,1065.67522656,0.00001173,0.00003036
613,1067.06896094,0.00001171,0.00003031
614,1068.60667188,0.00001169,0.00003026
615,1070.40333594,0.00001167,0.00003021
616,1071.99012500,0.00001165,0.00003015
617,1073.63517969,0.00001163,0.00003011
618,1074.94094531,0.00001162,0.00003006
619,1076.63545313,0.00001160,0.00003001
620,1078.35354688,0.00001158,0.00002996
621,1079.66874219,0.00001156,0.00002991
622,1081.95442969,0.00001154,0.00002985
623,1083.72439844,0.00001153,0.00002980
624,1085.14746875,0.00001151,0.00002975
625,1086.83309375,0.00001149,0.00002970
626,1088.47768750,0.00001147,0.00002965
627,1089.78817188,0.00001146,0.00002961
628,1091.27424219,0.00001144,0.00002956
629,1092.62156250,0.00001142,0.00002952
630,1094.14390625,0.00001140,0.00002948
631,1095.61605469,0.00001139,0.00002944
632,1096.89046875,0.00001137,0.00002939
633,1098.31546875,0.00001135,0.00002935
634,1099.70228906,0.00001133,0.00002931
635,1100.82647656,0.00001132,0.00002927
636,1102.28178125,0.00001130,0.00002923
637,1103.80547656,0.00001128,0.00002918
638,1104.97757813,0.00001127,0.00002914
639,1106.44443750,0.00001125,0.00002909
640,1107.87491406,0.00001123,0.00002905
641,1109.11146875,0.00001121,0.00002901
642,1111.44154688,0.00001120,0.00002895
643,1113.65864063,0.00001118,0.00002890
644,1115.75839063,0.00001116,0.00002884
645,1118.03243750,0.00001115,0.00002879
